"","Month","a.HCH","g.HCH","factor","dist","Year","loc_name","TC","CC","All_PCBs","HEPX","TN","Dieldrin","Endosulfan.I","b.HCH","pp.DDE","pp.DDT","Endosulfan.II","PCBs","PCB28","PCB52","PCB101","PCB118","PCB138","PCB153","PCB180","HCB","X7PCBs","HCHs","op.DDT","PCB18","Chlorpyrifos","PCB105","PCB31","¦²9PCBs","CN","Endosulfan.Sulfate","PCB5.8","PCB74","PCB87.115","PCB110","PCB149","PCB128.167","PCB170.190","X4PCBs","PCB8","PCB44","PCB66","pp.DDD","DDTs","PCB81","PCB77","PCB123","PCB114","PCB126","PCB167","PCB156","PCB157","PCB169","PCB189","Endosulfan.sulfate","t.HCH","op.DDE"
"1","7:7%(1)
8:93%(13)","D:86%(12)
V:14%(2)","D:100%(6)","6:100%(14)","  2.348092:7%(1)
 18.888547:7%(1)
 51.752290:7%(1)
 72.961009:7%(1)
106.280028:7%(1)
122.239274:7%(1)
133.114425:7%(1)
142.512389:7%(1)
163.355499:7%(1)
211.356509:7%(1)
259.630322:7%(1)
271.296958:7%(1)
583.972817:7%(1)
751.179368:7%(1)",1988,"Bering Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","   8.00000:20%(1)
8:80%(4)","D:75%(3)
V:25%(1)","D:100%(3)","6:100%(5)"," 69.339346:20%(1)
 74.111968:20%(1)
 77.089094:20%(1)
 97.387152:20%(1)
 97.655404:20%(1)",1988,"Chukchi Sea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","4 TO 5:100%(6)","B:100%(6)","B:100%(6)","13:100%(6)"," 656.5980:17%(1)
 930.3407:17%(1)
1526.8090:17%(1)
1790.4475:17%(1)
2083.0647:17%(1)
2869.8060:17%(1)",1991,"South Atlantic Ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","8:100%(2)","V:100%(2)","B:50%(1)
V:50%(1)","32:50%(1)
48:50%(1)","85.02596:50%(1)
85.16467:50%(1)",1992,"The North Western Passages","V:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","8:100%(13)","V:100%(13)","D:69%(9)
V:31%(4)","7:93%(13)
9:7%(1)","  59.35553:7%(1)
  80.93496:7%(1)
  98.00546:7%(1)
 102.15434:7%(1)
 111.37053:7%(1)
 140.35632:7%(1)
 160.11524:7%(1)
 187.84578:7%(1)
 199.57558:7%(1)
 211.08334:7%(1)
 240.62222:7%(1)
 579.34735:7%(1)
 750.67559:7%(1)
 927.46533:7%(1)",1993,"Bering Sea","V:100%(1)","D:100%(1)","","B:100%(1)","D:100%(1)","B:100%(1)","B:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","8:14%(1)
9:86%(6)","V:100%(7)","D:57%(4)
V:43%(3)","7:100%(7)","  28.76202:14%(1)
  55.36746:14%(1)
  74.29257:14%(1)
  85.96284:14%(1)
 131.22868:14%(1)
 136.43078:14%(1)
 283.04045:14%(1)",1993,"Chukchi Sea","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","9:100%(3)","V:100%(3)","D:67%(2)
V:33%(1)","7:100%(3)"," 119.47895:33%(1)
 155.21505:33%(1)
 230.17262:33%(1)",1993,"Arctic Ocean","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","","","","8:100%(1)","1057.51978:100%(1)",1993,"Sargasso Sea","","","B:100%(1)","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,"9:100%(1)","951.2579:100%(1)",1994,"Arctic Ocean","D:100%(1)","V:100%(1)",NA,"B:100%(1)","B:100%(1)","B:100%(1)","B:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","all year:100%(1)","V:100%(1)","V:100%(1)","39:100%(1)","1.491881:100%(1)",1996,"Arabian Sea",NA,NA,NA,NA,NA,NA,"V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)","V:100%(1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
