,Site,Year,Month,Lon,Lat,PCB28,PCB52,PCB101,PCB118,PCB138,PCB153,PCB180,X4PCBs,X7PCBs,HCB,a.HCH,b.HCH,g.HCH,t.HCH,HCHs,op.DDE,pp.DDE,op.DDD,pp.DDD,op.DDT,pp.DDT,DDTs,CHLs,endosulfan,Note,Reference,X37PCBs,Heptachlor,HEPX,TC,CC,TN,CN,Dieldrin,Endosulfan.I,Endosulfan.II,PCBs,Endosulfan.Sulfate,eNDosulfan,Oxychlordane,HCHs.a.HCH.g.HCH.,CHLs..TC.CC.TN.,Endosulfan,Heptachlor.Epoxide.B,Heptachlor.Epoxide.A,PCBs.Aroclor.1260.,PCB81,PCB77,PCB123,PCB114,PCB105,PCB126,PCB167,PCB156,PCB157,PCB169,PCB189,PCB18,PCB44,PCB66,PCB128,PCB187,PCB11,PCB209,X20PCBs,PCB16.32,PCB52.43,PCB41.71,PCB66.95,PCB87.81.,PCB110.77.,PCB149.123.107,PCB153.132,PCB163.138,PCB187.182,PCB174,Pentachloroanisol,Aldrin,Endrin,PCB8,PCB17,PCB33,PCB49,PCB42,PCB37,PCB74,PCB70.76,PCB56.60,PCB99,PCB87,PCB110,PCB151,PCB123.149,PCB183,PCB70,PCB95,PCB177,PCB201,PCB205,PCB5.8,PCB87.115,PCB149,PCB128.167,PCB170.190,Mirex
1,Aegean Sea,2012,7,25.4,35.2,20,12,8,,,,,,,,38,106,7,,,,7,,,,,,,,,"Bidirectional air–sea exchange and accumulation of POPs (PAHs, PCBs, OCPs and PBDEs) in the nocturnal marine boundary layer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Greenland Current,2007,6,-21.66,67.72,,,,,,,,,,77.549,9.392,,5.36,,,,,,,,,,,,,The “Degradative” and “Biological” Pumps Controls on the Atmospheric Deposition and Sequestration of Hexachlorocyclohexanes and Hexachlorobenzene in the North Atlantic and Arctic Oceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Greenland Current,2007,7,-12.52,72.9,,,,,,,,,,36.016,5.845,,1.966,,,,,,,,,,,,,The “Degradative” and “Biological” Pumps Controls on the Atmospheric Deposition and Sequestration of Hexachlorocyclohexanes and Hexachlorobenzene in the North Atlantic and Arctic Oceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Greenland Current,2007,7,6.885,79.025,,,,,,,,,,46.775,1.691,,1.532,,,,,,,,,,,,,The “Degradative” and “Biological” Pumps Controls on the Atmospheric Deposition and Sequestration of Hexachlorocyclohexanes and Hexachlorobenzene in the North Atlantic and Arctic Oceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Arctic Ocean,2007,7,13.135,80.285,,,,,,,,,,56.124,0.528,,0.13,,,,,,,,,,,,,The “Degradative” and “Biological” Pumps Controls on the Atmospheric Deposition and Sequestration of Hexachlorocyclohexanes and Hexachlorobenzene in the North Atlantic and Arctic Oceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Arctic Ocean,2007,7,10.6,80.26,,,,,,,,,,10.168,0.406,,0.375,,,,,,,,,,,,,The “Degradative” and “Biological” Pumps Controls on the Atmospheric Deposition and Sequestration of Hexachlorocyclohexanes and Hexachlorobenzene in the North Atlantic and Arctic Oceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Arctic Ocean,2007,7,13.175,80.675,,,,,,,,,,43.11,0.232,,0.152,,,,,,,,,,,,,The “Degradative” and “Biological” Pumps Controls on the Atmospheric Deposition and Sequestration of Hexachlorocyclohexanes and Hexachlorobenzene in the North Atlantic and Arctic Oceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Arctic Ocean,2007,7,3.375,79.42,,,,,,,,,,40.355,3.183,,0.126,,,,,,,,,,,,,The “Degradative” and “Biological” Pumps Controls on the Atmospheric Deposition and Sequestration of Hexachlorocyclohexanes and Hexachlorobenzene in the North Atlantic and Arctic Oceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Arctic Ocean,2007,7,4.815,78.265,,,,,,,,,,60.899,0.682,,0.787,,,,,,,,,,,,,The “Degradative” and “Biological” Pumps Controls on the Atmospheric Deposition and Sequestration of Hexachlorocyclohexanes and Hexachlorobenzene in the North Atlantic and Arctic Oceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,sable island,1988,1 to 2,-60.01,43.93,,,,,,,,NA,NA,NA,122.25,NA,11.5,NA,,NA,2.125,NA,NA,NA,1.6,NA,NA,NA,mean value(n=4),"Organic contaminants in the northwest Atlantic atmosphere at Sable Island, Nova Scotia, 1988–1989",62.75,NA,NA,5.975,5.225,3.775,0.213333333,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
